source,foot_id,mesh_path,side,length,width,foot_height,arch_height,ball_girth,waist_girth,instep_girth,heel_girth,ankle_girth,long_heel_girth,short_heel_girth,n_vertices
dryad_foot,dryad_0152,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/079_mBW_R.ply,right,237.4,137.7,82.8,3.7,435.9,441.1,491.8,649.3,584.8,649.3,584.4,35446
dryad_foot,dryad_0153,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/080_fBW_R.ply,right,252.9,137.7,96.7,8.8,467.5,472.1,496.6,705.8,670.2,705.8,635.2,34190
dryad_foot,dryad_0154,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/080_mBW_R.ply,right,250.8,134.0,95.2,6.9,465.5,469.2,502.5,667.8,625.3,667.8,601.0,34023
dryad_foot,dryad_0156,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/081_mBW_R.ply,right,272.8,139.3,97.8,1.8,485.5,488.4,526.1,734.5,723.8,734.5,661.1,33708
dryad_foot,dryad_0157,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/082_fBW_R.ply,right,255.1,134.7,83.7,3.6,442.8,446.2,513.2,540.9,443.2,540.9,486.8,33831
dryad_foot,dryad_0158,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/082_mBW_R.ply,right,245.1,134.0,83.1,6.2,436.9,441.9,506.9,591.7,485.9,591.7,532.5,35020
dryad_foot,dryad_0159,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/083_fBW_R.ply,right,251.8,139.3,84.0,4.9,427.9,435.6,478.6,721.0,699.4,721.0,648.9,32688
dryad_foot,dryad_0160,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/083_mBW_R.ply,right,245.3,138.1,82.0,3.2,433.9,441.2,477.9,710.1,689.0,710.1,639.1,33325
dryad_foot,dryad_0161,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/084_fBW_R.ply,right,256.2,137.8,87.7,5.3,434.2,438.4,496.7,676.7,547.1,676.7,609.0,33621
dryad_foot,dryad_0162,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/084_mBW_R.ply,right,246.5,135.4,86.6,5.7,426.4,429.9,492.5,657.2,592.1,657.2,591.5,33945
dryad_foot,dryad_0164,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/085_mBW_R.ply,right,270.2,136.4,86.0,2.5,443.9,447.6,490.0,696.2,668.8,696.2,626.6,33565
dryad_foot,dryad_0166,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/086_mBW_R.ply,right,261.9,139.3,92.0,0.7,478.3,482.2,513.8,727.7,715.6,727.7,654.9,33696
dryad_foot,dryad_0167,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/087_fBW_R.ply,right,275.7,139.4,98.5,3.4,479.3,485.0,526.5,747.7,727.2,747.7,672.9,33462
dryad_foot,dryad_0168,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/087_mBW_R.ply,right,267.6,138.7,94.5,4.1,491.0,493.6,519.8,730.6,713.6,730.6,657.5,33353
dryad_foot,dryad_0170,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/088_mBW_R.ply,right,248.6,138.8,89.2,1.2,464.6,464.5,497.0,705.0,677.0,705.0,634.5,33606
dryad_foot,dryad_0171,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/089_fBW_R.ply,right,260.7,134.1,88.1,5.5,421.8,424.3,479.5,670.5,616.2,670.5,603.4,32820
dryad_foot,dryad_0172,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/089_mBW_R.ply,right,249.6,134.2,87.4,1.4,427.2,423.7,464.9,673.2,643.8,673.2,605.9,32457
dryad_foot,dryad_0173,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/090_fBW_R.ply,right,286.1,138.3,99.5,0.9,501.1,506.8,525.1,738.3,726.2,738.3,664.5,33148
dryad_foot,dryad_0174,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/090_mBW_R.ply,right,279.7,135.5,97.5,2.9,494.8,500.7,519.3,720.4,702.9,720.4,648.4,33109
dryad_foot,dryad_0175,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/091_fBW_R.ply,right,258.9,139.1,88.6,6.3,450.4,451.2,494.2,696.8,646.6,696.8,627.1,33751
dryad_foot,dryad_0176,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/091_mBW_R.ply,right,258.2,132.8,85.9,4.5,450.1,449.8,489.3,648.3,586.3,648.3,583.5,33426
dryad_foot,dryad_0178,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/092_mBW_R.ply,right,284.7,137.3,93.3,2.3,485.5,491.3,526.8,733.9,716.3,733.9,660.5,33676
dryad_foot,dryad_0181,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/094_fBW_R.ply,right,245.4,138.7,92.6,5.3,464.3,468.0,500.8,713.7,673.4,713.7,642.3,33643
dryad_foot,dryad_0182,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/094_mBW_R.ply,right,247.3,132.3,90.3,7.7,460.6,462.2,503.0,650.8,593.4,650.8,585.7,33922
dryad_foot,dryad_0184,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/095_mBW_R.ply,right,244.4,136.6,94.6,4.5,499.2,506.9,537.5,699.5,668.5,699.5,629.6,35068
dryad_foot,dryad_0188,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/097_mBW_Lr.ply,left,253.9,136.9,85.9,4.1,448.1,452.8,497.6,695.9,662.8,695.9,626.3,34395
dryad_foot,dryad_0190,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/098_mBW_Lr.ply,left,273.5,136.0,95.0,10.4,509.2,507.9,529.1,718.7,693.1,718.7,646.8,33495
dryad_foot,dryad_0191,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/099_fBW_R.ply,right,255.9,138.0,87.8,6.5,447.1,455.2,503.8,690.0,639.2,690.0,621.0,33945
dryad_foot,dryad_0192,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/099_mBW_R.ply,right,257.2,133.8,84.7,5.0,448.0,454.4,509.8,643.0,573.0,643.0,578.7,34499
dryad_foot,dryad_0194,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/100_mBW_R.ply,right,255.0,133.6,85.4,0.4,461.0,466.8,507.6,677.1,644.3,677.1,609.4,33174
dryad_foot,dryad_0195,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/101_fBW_R.ply,right,237.4,138.3,87.8,9.4,443.7,447.8,471.5,698.9,672.0,698.9,629.0,32435
dryad_foot,dryad_0196,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/101_mBW_R.ply,right,240.9,131.2,85.2,7.6,444.1,447.0,472.4,648.1,607.0,648.1,583.3,33535
dryad_foot,dryad_0197,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/102_fBW_R.ply,right,249.1,137.3,86.9,7.9,436.6,444.0,484.4,700.3,653.0,700.3,630.3,34187
dryad_foot,dryad_0198,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/102_mBW_R.ply,right,245.4,134.8,81.9,4.7,438.1,442.1,488.7,668.5,610.0,668.5,601.6,34737
dryad_foot,dryad_0200,/Users/q/Desktop/atelier/atelier-ml/data/dryad_foot/103_mBW_R.ply,right,251.6,136.4,92.8,2.9,479.1,479.8,529.4,697.3,663.8,697.3,627.6,34411
